"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"	"Korean"	"ChineseTraditional"	"BrazilianPortuguese"
"pokemon_name_0061"	"Poliwhirl"	"ニョロゾ"	"Têtarte"	"Poliwhirl"	"Quaputzi"	"Poliwhirl"	"슈륙챙이"	"蚊香君"	"Poliwhirl"
"pokemon_name_0062"	"Poliwrath"	"ニョロボン"	"Tartard"	"Poliwrath"	"Quappo"	"Poliwrath"	"강챙이"	"蚊香泳士"	"Poliwrath"
"pokemon_name_0063"	"Abra"	"ケーシィ"	"Abra"	"Abra"	"Abra"	"Abra"	"캐이시"	"凱西"	"Abra"
"pokemon_name_0064"	"Kadabra"	"ユンゲラー"	"Kadabra"	"Kadabra"	"Kadabra"	"Kadabra"	"윤겔라"	"勇基拉"	"Kadabra"
"pokemon_name_0065"	"Alakazam"	"フーディン"	"Alakazam"	"Alakazam"	"Simsala"	"Alakazam"	"후딘"	"胡地"	"Alakazam"
"pokemon_name_0066"	"Machop"	"ワンリキー"	"Machoc"	"Machop"	"Machollo"	"Machop"	"알통몬"	"腕力"	"Machop"
"pokemon_name_0067"	"Machoke"	"ゴーリキー"	"Machopeur"	"Machoke"	"Maschock"	"Machoke"	"근육몬"	"豪力"	"Machoke"
"pokemon_name_0068"	"Machamp"	"カイリキー"	"Mackogneur"	"Machamp"	"Machomei"	"Machamp"	"괴력몬"	"怪力"	"Machamp"
"pokemon_name_0069"	"Bellsprout"	"マダツボミ"	"Chétiflor"	"Bellsprout"	"Knofensa"	"Bellsprout"	"모다피"	"喇叭芽"	"Bellsprout"
"pokemon_name_0070"	"Weepinbell"	"ウツドン"	"Boustiflor"	"Weepinbell"	"Ultrigaria"	"Weepinbell"	"우츠동"	"口呆花"	"Weepinbell"
"pokemon_name_0071"	"Victreebel"	"ウツボット"	"Empiflor"	"Victreebel"	"Sarzenia"	"Victreebel"	"우츠보트"	"大食花"	"Victreebel"
"pokemon_name_0072"	"Tentacool"	"メノクラゲ"	"Tentacool"	"Tentacool"	"Tentacha"	"Tentacool"	"왕눈해"	"瑪瑙水母"	"Tentacool"
"pokemon_name_0073"	"Tentacruel"	"ドククラゲ"	"Tentacruel"	"Tentacruel"	"Tentoxa"	"Tentacruel"	"독파리"	"毒刺水母"	"Tentacruel"
"pokemon_name_0074"	"Geodude"	"イシツブテ"	"Racaillou"	"Geodude"	"Kleinstein"	"Geodude"	"꼬마돌"	"小拳石"	"Geodude"
"pokemon_name_0075"	"Graveler"	"ゴローン"	"Gravalanch"	"Graveler"	"Georok"	"Graveler"	"데구리"	"隆隆石"	"Graveler"
"pokemon_name_0076"	"Golem"	"ゴローニャ"	"Grolem"	"Golem"	"Geowaz"	"Golem"	"딱구리"	"隆隆岩"	"Golem"
"pokemon_name_0077"	"Ponyta"	"ポニータ"	"Ponyta"	"Ponyta"	"Ponita"	"Ponyta"	"포니타"	"小火馬"	"Ponyta"
"pokemon_name_0078"	"Rapidash"	"ギャロップ"	"Galopa"	"Rapidash"	"Gallopa"	"Rapidash"	"날쌩마"	"烈焰馬"	"Rapidash"
"pokemon_name_0079"	"Slowpoke"	"ヤドン"	"Ramoloss"	"Slowpoke"	"Flegmon"	"Slowpoke"	"야돈"	"呆呆獸"	"Slowpoke"
"pokemon_name_0080"	"Slowbro"	"ヤドラン"	"Flagadoss"	"Slowbro"	"Lahmus"	"Slowbro"	"야도란"	"呆殼獸"	"Slowbro"
"pokemon_name_0081"	"Magnemite"	"コイル"	"Magnéti"	"Magnemite"	"Magnetilo"	"Magnemite"	"코일"	"小磁怪"	"Magnemite"
"pokemon_name_0082"	"Magneton"	"レアコイル"	"Magnéton"	"Magneton"	"Magneton"	"Magneton"	"레어코일"	"三合一磁怪"	"Magneton"
"pokemon_name_0083"	"Farfetch'd"	"カモネギ"	"Canarticho"	"Farfetch'd"	"Porenta"	"Farfetch'd"	"파오리"	"大蔥鴨"	"Farfetch'd"
"pokemon_name_0084"	"Doduo"	"ドードー"	"Doduo"	"Doduo"	"Dodu"	"Doduo"	"두두"	"嘟嘟"	"Doduo"
"pokemon_name_0085"	"Dodrio"	"ドードリオ"	"Dodrio"	"Dodrio"	"Dodri"	"Dodrio"	"두트리오"	"嘟嘟利"	"Dodrio"
"pokemon_name_0086"	"Seel"	"パウワウ"	"Otaria"	"Seel"	"Jurob"	"Seel"	"쥬쥬"	"小海獅"	"Seel"
"pokemon_name_0087"	"Dewgong"	"ジュゴン"	"Lamantine"	"Dewgong"	"Jugong"	"Dewgong"	"쥬레곤"	"白海獅"	"Dewgong"
"pokemon_name_0088"	"Grimer"	"ベトベター"	"Tadmorv"	"Grimer"	"Sleima"	"Grimer"	"질퍽이"	"臭泥"	"Grimer"
"pokemon_name_0089"	"Muk"	"ベトベトン"	"Grotadmorv"	"Muk"	"Sleimok"	"Muk"	"질뻐기"	"臭臭泥"	"Muk"
"pokemon_name_0090"	"Shellder"	"シェルダー"	"Kokiyas"	"Shellder"	"Muschas"	"Shellder"	"셀러"	"大舌貝"	"Shellder"
"pokemon_name_0091"	"Cloyster"	"パルシェン"	"Crustabri"	"Cloyster"	"Austos"	"Cloyster"	"파르셀"	"刺甲貝"	"Cloyster"
"pokemon_name_0092"	"Gastly"	"ゴース"	"Fantominus"	"Gastly"	"Nebulak"	"Gastly"	"고오스"	"鬼斯"	"Gastly"
"pokemon_name_0093"	"Haunter"	"ゴースト"	"Spectrum"	"Haunter"	"Alpollo"	"Haunter"	"고우스트"	"鬼斯通"	"Haunter"
"pokemon_name_0094"	"Gengar"	"ゲンガー"	"Ectoplasma"	"Gengar"	"Gengar"	"Gengar"	"팬텀"	"耿鬼"	"Gengar"
"pokemon_name_0095"	"Onix"	"イワーク"	"Onix"	"Onix"	"Onix"	"Onix"	"롱스톤"	"大岩蛇"	"Onix"
"pokemon_name_0096"	"Drowzee"	"スリープ"	"Soporifik"	"Drowzee"	"Traumato"	"Drowzee"	"슬리프"	"催眠貘"	"Drowzee"
"pokemon_name_0097"	"Hypno"	"スリーパー"	"Hypnomade"	"Hypno"	"Hypno"	"Hypno"	"슬리퍼"	"引夢貘人"	"Hypno"
"pokemon_name_0098"	"Krabby"	"クラブ"	"Krabby"	"Krabby"	"Krabby"	"Krabby"	"크랩"	"大鉗蟹"	"Krabby"
"pokemon_name_0099"	"Kingler"	"キングラー"	"Krabboss"	"Kingler"	"Kingler"	"Kingler"	"킹크랩"	"巨鉗蟹"	"Kingler"
"pokemon_name_0100"	"Voltorb"	"ビリリダマ"	"Voltorbe"	"Voltorb"	"Voltobal"	"Voltorb"	"찌리리공"	"霹靂電球"	"Voltorb"
"pokemon_name_0101"	"Electrode"	"マルマイン"	"Électrode"	"Electrode"	"Lektrobal"	"Electrode"	"붐볼"	"頑皮雷彈"	"Electrode"
"pokemon_name_0102"	"Exeggcute"	"タマタマ"	"Noeunoeuf"	"Exeggcute"	"Owei"	"Exeggcute"	"아라리"	"蛋蛋"	"Exeggcute"
"pokemon_name_0103"	"Exeggutor"	"ナッシー"	"Noadkoko"	"Exeggutor"	"Kokowei"	"Exeggutor"	"나시"	"椰蛋樹"	"Exeggutor"
"pokemon_name_0104"	"Cubone"	"カラカラ"	"Osselait"	"Cubone"	"Tragosso"	"Cubone"	"탕구리"	"卡拉卡拉"	"Cubone"
"pokemon_name_0105"	"Marowak"	"ガラガラ"	"Ossatueur"	"Marowak"	"Knogga"	"Marowak"	"텅구리"	"嘎啦嘎啦"	"Marowak"
"pokemon_name_0106"	"Hitmonlee"	"サワムラー"	"Kicklee"	"Hitmonlee"	"Kicklee"	"Hitmonlee"	"시라소몬"	"飛腿郎"	"Hitmonlee"
"pokemon_name_0107"	"Hitmonchan"	"エビワラー"	"Tygnon"	"Hitmonchan"	"Nockchan"	"Hitmonchan"	"홍수몬"	"快拳郎"	"Hitmonchan"
"pokemon_name_0108"	"Lickitung"	"ベロリンガ"	"Excelangue"	"Lickitung"	"Schlurp"	"Lickitung"	"내루미"	"大舌頭"	"Lickitung"
"pokemon_name_0109"	"Koffing"	"ドガース"	"Smogo"	"Koffing"	"Smogon"	"Koffing"	"또가스"	"瓦斯彈"	"Koffing"
"pokemon_name_0110"	"Weezing"	"マタドガス"	"Smogogo"	"Weezing"	"Smogmog"	"Weezing"	"또도가스"	"雙彈瓦斯"	"Weezing"
"pokemon_name_0111"	"Rhyhorn"	"サイホーン"	"Rhinocorne"	"Rhyhorn"	"Rihorn"	"Rhyhorn"	"뿔카노"	"獨角犀牛"	"Rhyhorn"
"pokemon_name_0112"	"Rhydon"	"サイドン"	"Rhinoféros"	"Rhydon"	"Rizeros"	"Rhydon"	"코뿌리"	"鑽角犀獸"	"Rhydon"
"pokemon_name_0113"	"Chansey"	"ラッキー"	"Leveinard"	"Chansey"	"Chaneira"	"Chansey"	"럭키"	"吉利蛋"	"Chansey"
"pokemon_name_0114"	"Tangela"	"モンジャラ"	"Saquedeneu"	"Tangela"	"Tangela"	"Tangela"	"덩쿠리"	"蔓藤怪"	"Tangela"
"pokemon_name_0115"	"Kangaskhan"	"ガルーラ"	"Kangourex"	"Kangaskhan"	"Kangama"	"Kangaskhan"	"캥카"	"袋獸"	"Kangaskhan"
"pokemon_name_0116"	"Horsea"	"タッツー"	"Hypotrempe"	"Horsea"	"Seeper"	"Horsea"	"쏘드라"	"墨海馬"	"Horsea"
"pokemon_name_0117"	"Seadra"	"シードラ"	"Hypocéan"	"Seadra"	"Seemon"	"Seadra"	"시드라"	"海刺龍"	"Seadra"
"pokemon_name_0118"	"Goldeen"	"トサキント"	"Poissirène"	"Goldeen"	"Goldini"	"Goldeen"	"콘치"	"角金魚"	"Goldeen"
"pokemon_name_0119"	"Seaking"	"アズマオウ"	"Poissoroy"	"Seaking"	"Golking"	"Seaking"	"왕콘치"	"金魚王"	"Seaking"
"pokemon_name_0120"	"Staryu"	"ヒトデマン"	"Stari"	"Staryu"	"Sterndu"	"Staryu"	"별가사리"	"海星星"	"Staryu"
"pokemon_name_0121"	"Starmie"	"スターミー"	"Staross"	"Starmie"	"Starmie"	"Starmie"	"아쿠스타"	"寶石海星"	"Starmie"
"pokemon_name_0122"	"Mr. Mime"	"バリヤード"	"M. Mime"	"Mr. Mime"	"Pantimos"	"Mr. Mime"	"마임맨"	"魔牆人偶"	"Mr. Mime"
"pokemon_name_0123"	"Scyther"	"ストライク"	"Insécateur"	"Scyther"	"Sichlor"	"Scyther"	"스라크"	"飛天螳螂"	"Scyther"
"pokemon_name_0124"	"Jynx"	"ルージュラ"	"Lippoutou"	"Jynx"	"Rossana"	"Jynx"	"루주라"	"迷唇姐"	"Jynx"
"pokemon_name_0125"	"Electabuzz"	"エレブー"	"Élektek"	"Electabuzz"	"Elektek"	"Electabuzz"	"에레브"	"電擊獸"	"Electabuzz"
"pokemon_name_0126"	"Magmar"	"ブーバー"	"Magmar"	"Magmar"	"Magmar"	"Magmar"	"마그마"	"鴨嘴火獸"	"Magmar"
"pokemon_name_0127"	"Pinsir"	"カイロス"	"Scarabrute"	"Pinsir"	"Pinsir"	"Pinsir"	"쁘사이저"	"凱羅斯"	"Pinsir"
"pokemon_name_0128"	"Tauros"	"ケンタロス"	"Tauros"	"Tauros"	"Tauros"	"Tauros"	"켄타로스"	"肯泰羅"	"Tauros"
"pokemon_name_0129"	"Magikarp"	"コイキング"	"Magicarpe"	"Magikarp"	"Karpador"	"Magikarp"	"잉어킹"	"鯉魚王"	"Magikarp"
"pokemon_name_0130"	"Gyarados"	"ギャラドス"	"Léviator"	"Gyarados"	"Garados"	"Gyarados"	"갸라도스"	"暴鯉龍"	"Gyarados"
"pokemon_name_0131"	"Lapras"	"ラプラス"	"Lokhlass"	"Lapras"	"Lapras"	"Lapras"	"라프라스"	"拉普拉斯"	"Lapras"
"pokemon_name_0132"	"Ditto"	"メタモン"	"Métamorph"	"Ditto"	"Ditto"	"Ditto"	"메타몽"	"百變怪"	"Ditto"
"pokemon_name_0133"	"Eevee"	"イーブイ"	"Évoli"	"Eevee"	"Evoli"	"Eevee"	"이브이"	"伊布"	"Eevee"
"pokemon_name_0134"	"Vaporeon"	"シャワーズ"	"Aquali"	"Vaporeon"	"Aquana"	"Vaporeon"	"샤미드"	"水伊布"	"Vaporeon"
"pokemon_name_0135"	"Jolteon"	"サンダース"	"Voltali"	"Jolteon"	"Blitza"	"Jolteon"	"쥬피썬더"	"雷伊布"	"Jolteon"
"pokemon_name_0136"	"Flareon"	"ブースター"	"Pyroli"	"Flareon"	"Flamara"	"Flareon"	"부스터"	"火伊布"	"Flareon"
"pokemon_name_0137"	"Porygon"	"ポリゴン"	"Porygon"	"Porygon"	"Porygon"	"Porygon"	"폴리곤"	"多邊獸"	"Porygon"
"pokemon_name_0138"	"Omanyte"	"オムナイト"	"Amonita"	"Omanyte"	"Amonitas"	"Omanyte"	"암나이트"	"菊石獸"	"Omanyte"
"pokemon_name_0139"	"Omastar"	"オムスター"	"Amonistar"	"Omastar"	"Amoroso"	"Omastar"	"암스타"	"多刺菊石獸"	"Omastar"
"pokemon_name_0140"	"Kabuto"	"カブト"	"Kabuto"	"Kabuto"	"Kabuto"	"Kabuto"	"투구"	"化石盔"	"Kabuto"
"pokemon_name_0141"	"Kabutops"	"カブトプス"	"Kabutops"	"Kabutops"	"Kabutops"	"Kabutops"	"투구푸스"	"鐮刀盔"	"Kabutops"
"pokemon_name_0142"	"Aerodactyl"	"プテラ"	"Ptéra"	"Aerodactyl"	"Aerodactyl"	"Aerodactyl"	"프테라"	"化石翼龍"	"Aerodactyl"
"pokemon_name_0143"	"Snorlax"	"カビゴン"	"Ronflex"	"Snorlax"	"Relaxo"	"Snorlax"	"잠만보"	"卡比獸"	"Snorlax"
"pokemon_name_0144"	"Articuno"	"フリーザー"	"Artikodin"	"Articuno"	"Arktos"	"Articuno"	"프리져"	"急凍鳥"	"Articuno"
"pokemon_name_0145"	"Zapdos"	"サンダー"	"Électhor"	"Zapdos"	"Zapdos"	"Zapdos"	"썬더"	"閃電鳥"	"Zapdos"
"pokemon_name_0146"	"Moltres"	"ファイヤー"	"Sulfura"	"Moltres"	"Lavados"	"Moltres"	"파이어"	"火焰鳥"	"Moltres"
"pokemon_name_0147"	"Dratini"	"ミニリュウ"	"Minidraco"	"Dratini"	"Dratini"	"Dratini"	"미뇽"	"迷你龍"	"Dratini"
"pokemon_name_0148"	"Dragonair"	"ハクリュー"	"Draco"	"Dragonair"	"Dragonir"	"Dragonair"	"신뇽"	"哈克龍"	"Dragonair"
"pokemon_name_0149"	"Dragonite"	"カイリュー"	"Dracolosse"	"Dragonite"	"Dragoran"	"Dragonite"	"망나뇽"	"快龍"	"Dragonite"
"pokemon_name_0150"	"Mewtwo"	"ミュウツー"	"Mewtwo"	"Mewtwo"	"Mewtu"	"Mewtwo"	"뮤츠"	"超夢"	"Mewtwo"
"pokemon_name_0151"	"Mew"	"ミュウ"	"Mew"	"Mew"	"Mew"	"Mew"	"뮤"	"夢幻"	"Mew"
"pokemon_name_0152"	"Chikorita"	"チコリータ"	"Germignon"	"Chikorita"	"Endivie"	"Chikorita"	"치코리타"	"菊草葉"	"Chikorita"
"pokemon_name_0153"	"Bayleef"	"ベイリーフ"	"Macronium"	"Bayleef"	"Lorblatt"	"Bayleef"	"베이리프"	"月桂葉"	"Bayleef"
"pokemon_name_0154"	"Meganium"	"メガニウム"	"Méganium"	"Meganium"	"Meganie"	"Meganium"	"메가니움"	"大竺葵"	"Meganium"
"pokemon_name_0155"	"Cyndaquil"	"ヒノアラシ"	"Héricendre"	"Cyndaquil"	"Feurigel"	"Cyndaquil"	"브케인"	"火球鼠"	"Cyndaquil"
"pokemon_name_0156"	"Quilava"	"マグマラシ"	"Feurisson"	"Quilava"	"Igelavar"	"Quilava"	"마그케인"	"火岩鼠"	"Quilava"
"pokemon_name_0157"	"Typhlosion"	"バクフーン"	"Typhlosion"	"Typhlosion"	"Tornupto"	"Typhlosion"	"블레이범"	"火爆獸"	"Typhlosion"
"pokemon_name_0158"	"Totodile"	"ワニノコ"	"Kaiminus"	"Totodile"	"Karnimani"	"Totodile"	"리아코"	"小鋸鱷"	"Totodile"
"pokemon_name_0159"	"Croconaw"	"アリゲイツ"	"Crocrodil"	"Croconaw"	"Tyracroc"	"Croconaw"	"엘리게이"	"藍鱷"	"Croconaw"
"pokemon_name_0160"	"Feraligatr"	"オーダイル"	"Aligatueur"	"Feraligatr"	"Impergator"	"Feraligatr"	"장크로다일"	"大力鱷"	"Feraligatr"
"pokemon_name_0161"	"Sentret"	"オタチ"	"Fouinette"	"Sentret"	"Wiesor"	"Sentret"	"꼬리선"	"尾立"	"Sentret"
"pokemon_name_0162"	"Furret"	"オオタチ"	"Fouinar"	"Furret"	"Wiesenior"	"Furret"	"다꼬리"	"大尾立"	"Furret"
"pokemon_name_0163"	"Hoothoot"	"ホーホー"	"Hoothoot"	"Hoothoot"	"Hoothoot"	"Hoothoot"	"부우부"	"咕咕"	"Hoothoot"
"pokemon_name_0164"	"Noctowl"	"ヨルノズク"	"Noarfang"	"Noctowl"	"Noctuh"	"Noctowl"	"야부엉"	"貓頭夜鷹"	"Noctowl"
"pokemon_name_0165"	"Ledyba"	"レディバ"	"Coxy"	"Ledyba"	"Ledyba"	"Ledyba"	"레디바"	"芭瓢蟲"	"Ledyba"
"pokemon_name_0166"	"Ledian"	"レディアン"	"Coxyclaque"	"Ledian"	"Ledian"	"Ledian"	"레디안"	"安瓢蟲"	"Ledian"
"pokemon_name_0167"	"Spinarak"	"イトマル"	"Mimigal"	"Spinarak"	"Webarak"	"Spinarak"	"페이검"	"圓絲蛛"	"Spinarak"
